epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59165,1.07214,1.60577,1.05797,0.6625,0.64599,0.64875,0.45239,1.04814,1.0518,1.07081,0.00333302,0.00333302,0.00333302
2,112974,0.97128,0.90115,1.00843,0.69866,0.67086,0.68177,0.48419,1.02259,0.99042,1.06293,0.00660036,0.00660036,0.00660036
3,163963,0.96653,0.86301,1.00647,0.7016,0.35329,0.48134,0.3627,1.21824,2.8418,1.19306,0.0098017,0.0098017,0.0098017
4,214807,0.94531,0.82161,1.0011,0.73531,0.29835,0.45176,0.34565,1.26368,3.23601,1.21593,0.009703,0.009703,0.009703
5,265719,0.91928,0.78222,0.99022,0.7149,0.64236,0.66799,0.48516,1.02077,1.11734,1.05615,0.009604,0.009604,0.009604
