epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,304997,0.87602,0.65428,0.91299,0.52919,0.56178,0.52212,0.33446,1.30747,1.50482,1.10879,0.005743,0.005743,0.005743
45,311934,0.86948,0.64764,0.91077,0.52128,0.56582,0.5196,0.3329,1.30946,1.50928,1.10969,0.005644,0.005644,0.005644
46,318847,0.86943,0.64588,0.91171,0.52641,0.56171,0.52106,0.33417,1.30946,1.50683,1.11003,0.005545,0.005545,0.005545
47,325629,0.86637,0.64435,0.90956,0.53223,0.56196,0.52156,0.33432,1.31079,1.512,1.10998,0.005446,0.005446,0.005446
48,332524,0.86418,0.64073,0.90936,0.53793,0.55995,0.52151,0.33395,1.31464,1.52094,1.11158,0.005347,0.005347,0.005347
49,339401,0.86143,0.64011,0.90848,0.53851,0.55856,0.52011,0.33332,1.3152,1.52506,1.11231,0.005248,0.005248,0.005248
50,346239,0.85691,0.63491,0.90611,0.53547,0.56148,0.52032,0.33299,1.3136,1.53267,1.11132,0.005149,0.005149,0.005149
51,353148,0.85455,0.63141,0.90666,0.53832,0.56133,0.51967,0.3325,1.31256,1.5403,1.11056,0.00505,0.00505,0.00505
52,360047,0.85087,0.62815,0.90599,0.53662,0.56084,0.51855,0.33202,1.31125,1.54398,1.11131,0.004951,0.004951,0.004951
53,366916,0.85038,0.62731,0.90603,0.534,0.56272,0.52055,0.33247,1.31231,1.55027,1.11243,0.004852,0.004852,0.004852
54,373811,0.84596,0.62224,0.90435,0.53713,0.55802,0.52081,0.33305,1.31231,1.54963,1.11316,0.004753,0.004753,0.004753
55,380684,0.84287,0.62064,0.90296,0.53944,0.55571,0.51948,0.33253,1.31182,1.54859,1.11254,0.004654,0.004654,0.004654
56,387524,0.83756,0.61776,0.90255,0.54106,0.55646,0.52344,0.33437,1.31194,1.55498,1.11177,0.004555,0.004555,0.004555
57,394335,0.8401,0.61793,0.90226,0.53753,0.56202,0.52286,0.33451,1.31131,1.55436,1.1125,0.004456,0.004456,0.004456
